SEQ,ID,UPDATE,STATUS,MOTIVE,INTEREST_RATE,AMOUNT,CAT,TXN,CP,DELIVERY_SCORE
0,1,2019-11-12 16:59:50.359977599,RESPONSE,,,,,,,
1,1,2019-11-14 20:46:41.439964799,RISK,,,,,,,
2,1,2019-11-15 16:14:50.533295999,APPROVED,DIGITAL,40,1300,49,,,
3,1,2020-01-14 23:08:23.368790399,,,,,,434.112065759782,,
4,2,2019-11-11 00:00:00.000000000,,,,,,,,
5,3,2019-11-11 00:00:00.000000000,,,,,,,,
6,4,2019-11-11 07:01:06.992774400,RESPONSE,,,,,,,
7,4,2019-11-12 21:27:50.553849600,RISK,,,,,,,
8,4,2019-11-13 14:49:54.204499200,APPROVED,PLASTIC,32,10000,39,,,
9,4,2019-11-16 14:00:52.712870400,DELIVERED,,,,,,11560,3
10,4,2019-11-17 08:25:46.979788800,,,,,,360.504173262901,,
11,4,2019-11-17 10:22:22.093910400,,,,,,175.06176472821,,
12,4,2019-11-19 04:44:53.308176000,,,,,,3719.61835378167,,
13,4,2019-11-19 06:53:04.296364800,,,,,,1171.0274908512,,
14,5,2019-12-30 20:59:27.879590400,RESPONSE,,,,,,,
15,5,2020-01-10 07:53:05.092396800,RISK,,,,,,,
16,5,2020-01-11 05:27:30.705235200,APPROVED,PLASTIC,46,15900,48,,,
17,5,2020-01-11 19:08:11.017536000,DELIVERED,,,,,,53100,0
18,7,2019-11-15 10:37:24.668745600,RESPONSE,,,,,,,
19,7,2019-11-19 13:46:35.822294400,RISK,,,,,,,
20,7,2019-11-24 13:21:41.542156800,REJECTED,USAGE,,,,,,
21,8,2019-11-13 16:09:03.516854400,RESPONSE,,,,,,,
22,8,2019-11-16 16:51:49.904784000,RISK,,,,,,,
23,8,2019-11-17 10:44:07.375862400,APPROVED,PLASTIC,40,3300,42,,,
24,8,2019-11-18 00:04:53.394268800,DELIVERED,,,,,,11560,2
25,10,2019-11-11 00:00:00.000000000,,,,,,,,
26,11,2019-11-12 16:20:14.931513600,RESPONSE,,,,,,,
27,11,2019-11-13 13:26:19.752230400,RISK,,,,,,,
28,11,2019-11-15 04:00:23.882112000,APPROVED,PLASTIC,32,49800,32,,,
29,11,2019-11-16 22:55:00.537139200,DELIVERED,,,,,,64000,0
30,11,2019-11-17 15:42:49.040496000,,,,,,2201.97564541139,,
31,11,2019-11-18 03:11:22.118755200,,,,,,401.917335947676,,
32,11,2019-11-18 17:36:26.292441600,,,,,,45.0114730606293,,
33,11,2019-11-20 18:53:34.713830400,,,,,,2691.10828582971,,
34,11,2019-12-04 05:41:00.687609600,,,,,,911.978729895421,,
35,12,2019-11-11 00:00:00.000000000,,,,,,,,
36,14,2019-12-31 18:03:52.760649599,RESPONSE,,,,,,,
37,14,2020-01-05 11:05:06.751161599,RISK,,,,,,,
38,14,2020-01-05 23:32:10.744223999,APPROVED,PLASTIC,31,2700,46,,,
39,14,2020-01-10 02:17:29.456793599,DELIVERED,,,,,,11560,4
40,15,2019-11-11 13:18:53.948188800,RESPONSE,,,,,,,
41,15,2019-11-13 21:29:50.023708799,RISK,,,,,,,
42,15,2019-11-14 06:49:11.719919999,REJECTED,USAGE,,,,,,
43,16,2019-11-26 14:36:40.631040000,RESPONSE,,,,,,,
44,16,2019-12-01 04:36:23.328028800,RISK,,,,,,,
45,16,2019-12-03 18:09:25.625289600,APPROVED,PLASTIC,38,10700,44,,,
46,16,2019-12-11 00:37:41.812118400,DELIVERED,,,,,,11560,2
47,17,2019-11-16 22:52:09.982934400,RESPONSE,,,,,,,
48,17,2019-11-21 00:48:24.051398400,RISK,,,,,,,
49,17,2019-11-29 05:33:53.621049600,APPROVED,PLASTIC,48,6600,48,,,
50,17,2019-11-29 10:23:58.817414400,DELIVERED,,,,,,44620,3
51,17,2019-11-30 20:16:44.872838400,,,,,,28.1771452877744,,
52,17,2019-12-04 03:51:42.032851200,,,,,,123.862752843384,,
53,18,2019-11-11 03:04:06.447792000,RESPONSE,,,,,,,
54,18,2019-11-12 14:23:47.880240000,RISK,,,,,,,
55,18,2019-11-13 08:58:54.388617600,APPROVED,PLASTIC,36,16300,48,,,
56,18,2019-11-15 13:01:41.021673600,DELIVERED,,,,,,53100,2
57,18,2019-11-15 14:35:35.128607999,,,,,,1131.12267843744,,
58,19,2019-11-11 07:10:58.564502399,RESPONSE,,,,,,,
59,19,2019-11-12 02:08:59.369078399,RISK,,,,,,,
60,19,2019-11-14 05:22:12.244079998,APPROVED,PLASTIC,38,21200,35,,,
